Date,Open,High,Low,Close,Adj Close,Volume
2021-03-31,3.420000,3.450000,3.390000,3.430000,3.053278,5358100
2021-04-01,3.390000,3.430000,3.380000,3.420000,3.044376,2141100
2021-04-05,3.440000,3.490000,3.440000,3.470000,3.088885,2633000
2021-04-06,3.460000,3.490000,3.450000,3.480000,3.097786,3570900
2021-04-07,3.500000,3.540000,3.490000,3.540000,3.151196,3649300
2021-04-08,3.460000,3.510000,3.420000,3.510000,3.124491,3109300
2021-04-09,3.460000,3.490000,3.440000,3.460000,3.079983,7964600
2021-04-12,3.470000,3.500000,3.450000,3.470000,3.088885,3406600
2021-04-13,3.430000,3.460000,3.410000,3.440000,3.062179,3455000
2021-04-14,3.450000,3.500000,3.450000,3.480000,3.097786,3277200
2021-04-15,3.470000,3.470000,3.390000,3.430000,3.053278,4562200
2021-04-16,3.440000,3.470000,3.430000,3.460000,3.079983,2807400
2021-04-19,3.570000,3.590000,3.530000,3.540000,3.151196,7095200
2021-04-20,3.480000,3.490000,3.400000,3.420000,3.044376,7059700
2021-04-21,3.320000,3.400000,3.310000,3.390000,3.017671,4409000
2021-04-22,3.390000,3.410000,3.360000,3.370000,2.999867,3804400
2021-04-23,3.370000,3.440000,3.360000,3.430000,3.053278,3519200
2021-04-26,3.470000,3.500000,3.470000,3.490000,3.106688,2730000
2021-04-27,3.570000,3.660000,3.560000,3.660000,3.258017,7772500
2021-04-28,3.720000,3.780000,3.710000,3.780000,3.364837,8097400
2021-04-29,3.840000,3.860000,3.810000,3.840000,3.418247,7682300
2021-04-30,3.820000,3.840000,3.800000,3.810000,3.391542,4689000
2021-05-03,3.810000,3.830000,3.780000,3.810000,3.391542,5460700
2021-05-04,3.790000,3.820000,3.730000,3.790000,3.373738,7697500
2021-05-05,3.810000,3.860000,3.790000,3.840000,3.418247,6352200
2021-05-06,3.850000,3.890000,3.810000,3.880000,3.453854,4980800
2021-05-07,3.830000,3.930000,3.820000,3.910000,3.480559,5531600
2021-05-10,4.000000,4.040000,3.950000,3.960000,3.525067,6402400
2021-05-11,3.920000,3.960000,3.900000,3.930000,3.498362,5076300
2021-05-12,3.930000,3.980000,3.910000,3.940000,3.507264,12140400
2021-05-13,3.890000,3.980000,3.890000,3.960000,3.525067,4250300
2021-05-14,4.020000,4.100000,4.020000,4.100000,3.649690,3893900
2021-05-17,4.010000,4.080000,4.010000,4.060000,3.614084,4981300
2021-05-18,4.090000,4.120000,4.080000,4.090000,3.640789,4410600
2021-05-19,4.030000,4.060000,3.980000,4.040000,3.596280,4870300
2021-05-20,4.030000,4.070000,4.000000,4.050000,3.605182,3574500
2021-05-21,4.100000,4.120000,4.070000,4.110000,3.658593,3160700
2021-05-24,4.080000,4.110000,4.050000,4.090000,3.640789,3602500
2021-05-25,4.160000,4.170000,4.070000,4.090000,3.640789,5007300
2021-05-26,4.050000,4.110000,4.020000,4.090000,3.640789,3542700
2021-05-27,4.190000,4.220000,4.180000,4.220000,3.756510,5404600
2021-05-28,4.170000,4.210000,4.150000,4.210000,3.747609,2555100
2021-06-01,4.250000,4.270000,4.240000,4.260000,3.792118,3777300
2021-06-02,4.230000,4.260000,4.210000,4.250000,3.783216,6005100
2021-06-03,4.250000,4.290000,4.240000,4.280000,3.809922,3156200
2021-06-04,4.230000,4.240000,4.200000,4.230000,3.765413,1852500
2021-06-07,4.210000,4.250000,4.210000,4.240000,3.774314,2674000
2021-06-08,4.140000,4.180000,4.120000,4.160000,3.703101,2586000
2021-06-09,4.150000,4.380000,4.120000,4.200000,3.738707,35134600
2021-06-10,4.260000,4.290000,4.220000,4.240000,3.774314,21538900
2021-06-11,4.200000,4.240000,4.180000,4.220000,3.756510,6657000
2021-06-14,4.200000,4.240000,4.190000,4.210000,3.747609,3881000
2021-06-15,4.180000,4.230000,4.180000,4.210000,3.747609,4014800
2021-06-16,4.120000,4.170000,4.090000,4.120000,3.667494,6328100
2021-06-17,4.160000,4.160000,4.000000,4.030000,3.587379,7531900
2021-06-18,3.930000,3.960000,3.900000,3.940000,3.507264,8169400
2021-06-21,3.930000,4.000000,3.920000,3.960000,3.525067,7125500
2021-06-22,3.930000,3.980000,3.910000,3.980000,3.542870,3189800
2021-06-23,3.980000,4.000000,3.940000,3.950000,3.516165,4130800
2021-06-24,3.990000,4.050000,3.980000,4.040000,3.596280,3719100
2021-06-25,4.040000,4.060000,4.020000,4.060000,3.614084,3125700
2021-06-28,4.000000,4.000000,3.910000,3.960000,3.525067,10042500
2021-06-29,3.940000,3.970000,3.900000,3.930000,3.498362,4533600
2021-06-30,3.870000,3.910000,3.860000,3.910000,3.480559,5231500
2021-07-01,3.920000,3.960000,3.910000,3.960000,3.525067,3101800
2021-07-02,3.920000,3.920000,3.850000,3.860000,3.436050,3266500
2021-07-06,3.870000,3.870000,3.750000,3.760000,3.347033,6697400
2021-07-07,3.750000,3.770000,3.690000,3.740000,3.329230,5150400
2021-07-08,3.660000,3.680000,3.620000,3.640000,3.240213,5235300
2021-07-09,3.710000,3.790000,3.680000,3.770000,3.355935,4327700
2021-07-12,3.700000,3.790000,3.690000,3.760000,3.347033,2899200
2021-07-13,3.720000,3.730000,3.670000,3.680000,3.275820,4295100
2021-07-14,3.730000,3.770000,3.690000,3.720000,3.311426,2767300
2021-07-15,3.680000,3.750000,3.680000,3.700000,3.293623,5208400
2021-07-16,3.670000,3.690000,3.550000,3.580000,3.186803,10074500
2021-07-19,3.500000,3.530000,3.450000,3.460000,3.079983,8274600
2021-07-20,3.420000,3.520000,3.400000,3.500000,3.115589,5005600
2021-07-21,3.580000,3.680000,3.580000,3.640000,3.240213,4206800
2021-07-22,3.690000,3.700000,3.620000,3.620000,3.222409,4698200
2021-07-23,3.730000,3.750000,3.670000,3.670000,3.266918,3380200
2021-07-26,3.720000,3.800000,3.720000,3.780000,3.364837,3033300
2021-07-27,3.720000,3.760000,3.690000,3.730000,3.320328,2250000
2021-07-28,3.640000,3.680000,3.610000,3.660000,3.258017,3720000
2021-07-29,3.770000,3.780000,3.740000,3.780000,3.364837,3050600
2021-07-30,3.710000,3.730000,3.660000,3.670000,3.266918,3176900
2021-08-02,3.690000,3.740000,3.630000,3.650000,3.249115,4892800
2021-08-03,3.700000,3.750000,3.650000,3.740000,3.329230,3952000
2021-08-04,3.700000,3.750000,3.700000,3.720000,3.311426,2231300
2021-08-05,3.730000,3.770000,3.720000,3.730000,3.320328,4532500
2021-08-06,3.800000,3.870000,3.790000,3.850000,3.427148,5126400
2021-08-09,3.820000,3.850000,3.790000,3.820000,3.400443,1848500
2021-08-10,3.820000,3.880000,3.810000,3.860000,3.436050,2428100
2021-08-11,3.880000,3.940000,3.870000,3.930000,3.498362,2315700
2021-08-12,3.890000,3.910000,3.860000,3.890000,3.462755,2515500
2021-08-13,3.900000,3.910000,3.860000,3.870000,3.444952,2528400
2021-08-16,3.830000,3.840000,3.790000,3.810000,3.391542,2626400
2021-08-17,3.740000,3.750000,3.670000,3.700000,3.293623,3604700
2021-08-18,3.680000,3.740000,3.680000,3.700000,3.293623,2816900
2021-08-19,3.660000,3.690000,3.600000,3.630000,3.231311,5269300
2021-08-20,3.600000,3.660000,3.580000,3.650000,3.249115,2936000
2021-08-23,3.680000,3.720000,3.660000,3.680000,3.275820,2643200
2021-08-24,3.670000,3.730000,3.670000,3.690000,3.284722,2690200
2021-08-25,3.750000,3.810000,3.740000,3.810000,3.391542,2917000
2021-08-26,3.780000,3.810000,3.710000,3.730000,3.320328,3265400
2021-08-27,3.710000,3.780000,3.710000,3.770000,3.355935,2320100
2021-08-30,3.750000,3.760000,3.680000,3.690000,3.284722,3446600
2021-08-31,3.690000,3.730000,3.680000,3.690000,3.284722,12000600
2021-09-01,3.760000,3.780000,3.730000,3.750000,3.338132,7366100
2021-09-02,3.690000,3.720000,3.680000,3.690000,3.284722,2623900
2021-09-03,3.670000,3.680000,3.620000,3.650000,3.249115,2405000
2021-09-07,3.670000,3.720000,3.660000,3.670000,3.266918,2248000
2021-09-08,3.650000,3.680000,3.600000,3.610000,3.213508,3203300
2021-09-09,3.590000,3.650000,3.570000,3.630000,3.231311,5131400
2021-09-10,3.610000,3.630000,3.580000,3.580000,3.186803,3180200
2021-09-13,3.650000,3.700000,3.630000,3.690000,3.284722,3882500
2021-09-14,3.720000,3.730000,3.630000,3.640000,3.240213,2469200
2021-09-15,3.660000,3.680000,3.640000,3.670000,3.266918,2269200
2021-09-16,3.710000,3.710000,3.650000,3.700000,3.293623,2905000
2021-09-17,3.660000,3.690000,3.570000,3.580000,3.186803,3657000
2021-09-20,3.450000,3.460000,3.340000,3.400000,3.026573,6577300
2021-09-21,3.430000,3.460000,3.380000,3.390000,3.017671,4545500
2021-09-22,3.470000,3.530000,3.470000,3.480000,3.097786,4330800
2021-09-23,3.570000,3.640000,3.560000,3.630000,3.231311,2737600
2021-09-24,3.620000,3.650000,3.620000,3.640000,3.240213,1699100
2021-09-27,3.720000,3.770000,3.700000,3.750000,3.338132,3964000
2021-09-28,3.710000,3.730000,3.620000,3.630000,3.231311,3812900
2021-09-29,3.640000,3.690000,3.620000,3.670000,3.266918,2011400
2021-09-30,3.670000,3.680000,3.610000,3.620000,3.222409,4031700
2021-10-01,3.630000,3.680000,3.590000,3.650000,3.249115,4194600
2021-10-04,3.680000,3.720000,3.640000,3.650000,3.249115,5201600
2021-10-05,3.730000,3.790000,3.710000,3.780000,3.364837,5554800
2021-10-06,3.740000,3.790000,3.720000,3.770000,3.355935,4431000
2021-10-07,3.820000,3.880000,3.810000,3.830000,3.409345,4787200
2021-10-08,3.870000,3.890000,3.850000,3.880000,3.453854,3542600
2021-10-11,3.880000,3.900000,3.820000,3.820000,3.400443,4504900
2021-10-12,3.870000,3.920000,3.860000,3.910000,3.480559,4758100
2021-10-13,3.850000,3.850000,3.770000,3.800000,3.382640,3563000
2021-10-14,3.870000,3.880000,3.800000,3.830000,3.409345,2389200
2021-10-15,3.890000,3.930000,3.860000,3.900000,3.471657,7368300
2021-10-18,3.880000,3.900000,3.860000,3.880000,3.453854,4092100
2021-10-19,3.920000,3.940000,3.900000,3.920000,3.489460,2282800
2021-10-20,3.900000,3.960000,3.890000,3.950000,3.516165,2352800
2021-10-21,3.910000,3.920000,3.850000,3.880000,3.453854,3542900
2021-10-22,3.860000,3.910000,3.830000,3.870000,3.444952,2448700
2021-10-25,3.880000,3.900000,3.870000,3.880000,3.453854,2403000
2021-10-26,3.900000,3.940000,3.900000,3.920000,3.489460,3817300
2021-10-27,3.810000,3.850000,3.780000,3.790000,3.373738,3397200
2021-10-28,3.840000,3.870000,3.820000,3.870000,3.444952,4335800
2021-10-29,3.780000,3.810000,3.770000,3.790000,3.423274,3047300
2021-11-01,3.840000,3.920000,3.840000,3.920000,3.540695,2877700
2021-11-02,3.830000,3.830000,3.800000,3.810000,3.441339,1964900
2021-11-03,3.790000,3.870000,3.770000,3.860000,3.486501,1917400
2021-11-04,3.800000,3.800000,3.700000,3.730000,3.369080,3457400
2021-11-05,3.810000,3.820000,3.760000,3.780000,3.414242,3166200
2021-11-08,3.770000,3.790000,3.740000,3.750000,3.387145,3254000
2021-11-09,3.730000,3.740000,3.680000,3.700000,3.341983,3469500
2021-11-10,3.720000,3.740000,3.650000,3.670000,3.314886,2766900
2021-11-11,3.680000,3.720000,3.680000,3.690000,3.332950,1915200
2021-11-12,3.630000,3.640000,3.620000,3.640000,3.287788,2666400
2021-11-15,3.660000,3.680000,3.620000,3.620000,3.269723,2470800
2021-11-16,3.640000,3.650000,3.600000,3.610000,3.260691,2364500
2021-11-17,3.610000,3.620000,3.590000,3.600000,3.251659,2310500
2021-11-18,3.560000,3.580000,3.530000,3.530000,3.188432,3092500
2021-11-19,3.450000,3.460000,3.410000,3.440000,3.107141,4680800
2021-11-22,3.440000,3.490000,3.440000,3.470000,3.134238,4346500
2021-11-23,3.460000,3.500000,3.430000,3.460000,3.125206,3978600
2021-11-24,3.410000,3.430000,3.390000,3.400000,3.071011,3300900
2021-11-26,3.210000,3.210000,3.140000,3.200000,2.890364,6276900
2021-11-29,3.210000,3.230000,3.140000,3.160000,2.854234,5959000
2021-11-30,3.160000,3.170000,3.070000,3.110000,2.809072,8889400
2021-12-01,3.180000,3.210000,3.090000,3.090000,2.791007,6489200
2021-12-02,3.140000,3.200000,3.130000,3.170000,2.863266,5263600
2021-12-03,3.150000,3.170000,3.100000,3.140000,2.836169,6055800
2021-12-06,3.150000,3.190000,3.140000,3.170000,2.863266,4557700
2021-12-07,3.170000,3.210000,3.160000,3.180000,2.872298,6489700
2021-12-08,3.140000,3.160000,3.080000,3.110000,2.809072,17407500
2021-12-09,3.070000,3.080000,3.000000,3.010000,2.718748,30497000
2021-12-10,3.020000,3.040000,3.000000,3.030000,2.736813,15100300
2021-12-13,3.010000,3.010000,2.960000,2.960000,2.673586,10233500
2021-12-14,2.970000,3.050000,2.970000,2.990000,2.700683,12114200
2021-12-15,2.990000,3.000000,2.960000,2.980000,2.691651,8824400
2021-12-16,3.100000,3.120000,3.050000,3.060000,2.763910,7913100
2021-12-17,3.090000,3.100000,3.050000,3.060000,2.763910,8211500
2021-12-20,3.090000,3.120000,3.050000,3.090000,2.791007,10932600
2021-12-21,3.130000,3.150000,3.120000,3.130000,2.827137,9352000
2021-12-22,3.130000,3.180000,3.120000,3.170000,2.863266,7384900
2021-12-23,3.240000,3.290000,3.240000,3.260000,2.944557,5916300
2021-12-27,3.270000,3.300000,3.250000,3.290000,2.971655,4277400
2021-12-28,3.270000,3.300000,3.270000,3.290000,2.971655,3626300
2021-12-29,3.280000,3.320000,3.280000,3.290000,2.971655,6857200
2021-12-30,3.290000,3.330000,3.290000,3.300000,2.980687,3641000
2021-12-31,3.290000,3.310000,3.280000,3.290000,2.971655,3117900
2022-01-03,3.310000,3.360000,3.310000,3.360000,3.034881,5420200
2022-01-04,3.420000,3.460000,3.410000,3.430000,3.098108,6220000
2022-01-05,3.460000,3.480000,3.380000,3.400000,3.071011,4023800
2022-01-06,3.490000,3.550000,3.450000,3.540000,3.197464,5543000
2022-01-07,3.510000,3.580000,3.500000,3.580000,3.233594,7203300
2022-01-10,3.590000,3.590000,3.520000,3.590000,3.242626,11876700
2022-01-11,3.540000,3.630000,3.510000,3.610000,3.260691,8275900
2022-01-12,3.570000,3.610000,3.560000,3.600000,3.251659,5875000
2022-01-13,3.610000,3.640000,3.580000,3.600000,3.251659,9044000
2022-01-14,3.590000,3.690000,3.580000,3.690000,3.332950,8919500
2022-01-18,3.600000,3.630000,3.580000,3.600000,3.251659,7425700
2022-01-19,3.600000,3.610000,3.530000,3.540000,3.197464,11189500
2022-01-20,3.540000,3.590000,3.500000,3.520000,3.179400,6483300
2022-01-21,3.490000,3.510000,3.440000,3.460000,3.125206,10898300
2022-01-24,3.370000,3.400000,3.280000,3.390000,3.061979,8173300
2022-01-25,3.350000,3.470000,3.320000,3.440000,3.107141,6849300
2022-01-26,3.550000,3.570000,3.480000,3.520000,3.179400,5792100
2022-01-27,3.590000,3.620000,3.500000,3.550000,3.206496,11383700
2022-01-28,3.520000,3.560000,3.490000,3.550000,3.206496,4849500
2022-01-31,3.480000,3.520000,3.450000,3.520000,3.179400,6732600
2022-02-01,3.550000,3.620000,3.540000,3.620000,3.269723,3945100
2022-02-02,3.650000,3.650000,3.590000,3.640000,3.287788,4174500
2022-02-03,3.750000,3.800000,3.730000,3.760000,3.396177,7515000
2022-02-04,3.700000,3.830000,3.690000,3.810000,3.441339,11106900
2022-02-07,3.780000,3.830000,3.760000,3.810000,3.441339,5255600
2022-02-08,3.870000,3.920000,3.860000,3.910000,3.531663,7795500
2022-02-09,3.920000,3.960000,3.910000,3.940000,3.558760,5728400
2022-02-10,3.940000,4.010000,3.940000,3.980000,3.594889,7673600
2022-02-11,3.930000,4.000000,3.830000,3.850000,3.477468,10575000
2022-02-14,3.830000,3.840000,3.770000,3.810000,3.441339,8085200
2022-02-15,3.870000,3.930000,3.860000,3.910000,3.531663,5000900
2022-02-16,3.820000,3.880000,3.820000,3.870000,3.495533,3534400
2022-02-17,3.820000,3.840000,3.760000,3.790000,3.423274,3895400
2022-02-18,3.780000,3.820000,3.760000,3.790000,3.423274,5038400
2022-02-22,3.750000,3.810000,3.710000,3.750000,3.387145,7004000
2022-02-23,3.740000,3.770000,3.640000,3.660000,3.305853,11433600
2022-02-24,3.310000,3.440000,3.300000,3.430000,3.098108,16339200
2022-02-25,3.510000,3.550000,3.500000,3.540000,3.197464,6859600
2022-02-28,3.320000,3.400000,3.310000,3.360000,3.034881,8040600
2022-03-01,3.300000,3.310000,3.110000,3.140000,2.836169,14953500
2022-03-02,3.280000,3.310000,3.240000,3.290000,2.971655,8526800
2022-03-03,3.250000,3.260000,3.160000,3.190000,2.881331,8177200
2022-03-04,3.050000,3.060000,2.920000,2.960000,2.673586,24909500
2022-03-07,2.930000,2.940000,2.770000,2.800000,2.529068,16456400
2022-03-08,3.020000,3.090000,2.910000,3.000000,2.709716,19449500
2022-03-09,3.150000,3.190000,3.120000,3.190000,2.881331,11059300
2022-03-10,3.140000,3.200000,3.110000,3.130000,2.827137,7948000
2022-03-11,3.160000,3.190000,3.070000,3.070000,2.772942,12302000
2022-03-14,3.190000,3.230000,3.150000,3.180000,2.872298,9189200
2022-03-15,3.250000,3.280000,3.210000,3.260000,2.944557,11408600
2022-03-16,3.370000,3.490000,3.350000,3.430000,3.098108,13452200
2022-03-17,3.410000,3.470000,3.380000,3.470000,3.134238,9779500
2022-03-18,3.370000,3.430000,3.360000,3.410000,3.080044,5162500
